"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-90.482489,46.979497,5,48,174,-92,805,100,27,34,281,114,281,114,116,27,10324,253,-165,418,174,-92
-83.241211,43.116056,5,83,203,-46,758,87,31,27,240,118,237,118,111,28,9640,284,-101,385,194,-46
-71.423201,42.734535,1,85,202,-38,1089,113,81,9,304,255,259,265,122,31,9260,281,-108,389,40,-26
-82.39224,41.009207,1,93,207,-30,940,101,51,21,295,175,289,175,110,29,9148,280,-87,367,186,-30
-94.335742,46.422481,3,46,194,-121,685,104,15,52,290,56,290,56,123,25,12139,273,-205,478,194,-121
-85.455545,42.622525,5,85,205,-44,901,99,39,23,273,149,269,155,113,29,9638,283,-101,384,195,-31
-78.425544,42.061199,1,66,175,-53,1035,122,56,20,317,187,317,195,123,32,8859,257,-117,374,175,-43
-71.467774,42.513314,1,88,204,-34,1109,115,85,9,309,257,257,278,119,31,9155,281,-100,381,43,204
-75.647955,44.884497,5,62,192,-82,875,87,56,14,253,175,241,194,99,24,10601,262,-145,407,182,-69
-73.231266,44.280939,5,71,196,-64,870,101,46,22,271,151,271,157,117,28,10054,276,-135,411,196,-52
-80.515633,42.611088,1,82,197,-39,964,92,57,13,260,198,256,210,97,27,9168,266,-89,355,190,-30
-76.612465,44.232326,5,67,188,-65,932,95,62,14,270,205,217,227,96,25,9836,254,-127,381,25,-55
-98.611317,19.208095,4,110,126,89,953,181,10,87,525,30,310,38,154,71,1482,213,-1,214,120,89
-122.820745,45.22422,4,114,184,49,1063,176,17,59,491,85,89,451,113,42,5326,271,5,266,53,183
-122.265045,47.406307,4,107,172,48,1035,156,23,54,465,98,98,421,98,41,4917,245,9,236,51,172
-122.847426,45.660438,4,109,178,44,1105,187,16,62,525,85,90,485,113,43,5301,264,2,262,48,178
-122.952019,47.074455,4,104,168,44,1300,210,21,63,620,92,92,571,111,44,4949,251,3,248,48,168
-121.897145,36.919487,4,139,177,99,656,142,2,91,363,7,12,363,125,60,3050,245,38,207,99,173
-122.108494,47.478727,4,101,165,42,1301,190,33,48,551,139,139,504,100,42,4891,240,4,236,45,165
-123.32979,44.576159,4,110,178,48,1160,202,12,68,568,67,71,532,118,44,5140,272,7,265,51,176
-122.737734,45.919598,4,108,175,43,1426,230,23,58,653,117,123,606,110,42,5201,259,2,257,48,174
-122.503428,47.390064,4,105,167,46,1167,191,21,62,554,89,89,505,95,40,4866,237,5,232,51,167
-122.493414,48.710258,4,93,153,35,1116,152,39,42,449,137,137,407,89,39,4719,218,-5,223,38,153
-122.293075,46.844271,4,94,158,35,1372,197,32,49,587,144,144,532,107,43,4928,238,-7,245,39,158
-122.643509,48.987926,4,96,159,36,1074,149,37,43,437,130,130,395,90,39,4851,222,-4,226,39,159
-120.9805,39.99994,2,89,172,13,1083,200,6,76,536,38,38,536,167,47,6299,297,-53,350,13,172
-122.296556,48.157397,4,101,160,45,996,134,33,40,392,127,127,355,90,41,4564,225,9,216,49,160
-117.016432,46.812852,2,81,171,-6,578,74,20,36,219,73,86,201,123,37,6959,278,-53,331,-1,169
-122.555301,45.474635,4,116,185,51,1205,193,20,57,548,100,100,504,107,41,5317,268,11,257,55,185
-116.041764,44.496322,2,30,133,-71,636,86,20,38,246,81,94,234,158,40,7916,256,-138,394,-58,128
-123.513451,48.524222,4,84,143,30,1228,215,24,67,611,85,104,553,82,39,4519,205,-3,208,34,142
-123.222289,43.981162,4,108,175,47,1297,221,13,66,630,75,79,575,120,45,5027,268,4,264,51,173
-117.294834,49.492812,2,32,131,-62,826,107,45,29,302,142,164,278,98,30,7605,218,-106,324,-55,127
-123.466584,43.264897,4,120,189,59,1018,179,8,70,509,49,57,462,134,48,5128,290,11,279,63,187
